Names,Subscribers,Views,Videos,id,Date
b'Nature Newsteam',12600,9865660,203,UCYHPDII9XuPNBpTUxLpRK_g,2011-10-10T13:28:47Z
b'Love Nature',386000,68934477,317,UCRZPkuHwaoKwTP3CYPdVldg,2010-05-07T15:37:02Z
b'Nature Saskatchewan',101,5118,37,UCDYIv80ATfpeExkqvScuJ7g,2013-03-22T20:29:17Z
b'Loubna Nature',3240,101113,48,UCMrgYHYEaxDgiYeUWxYfFDw,2016-04-27T16:01:14Z
b'Nature Way',1340,43056,41,UCMZpgbg1B6oPCAdT8Vl2iAg,2020-10-08T09:35:25.88895Z
b'Nature Gardener',44500,6465580,384,UCWpND_B3MW60aCmuuVH5eBw,2019-10-03T09:21:58Z
b'Nature Tech Family',1040,295264,78,UCSr_tvSeGMwK4rUEPAlq0VQ,2015-04-26T04:48:28Z
b'Un brin de Nature - La T\xc3\xa9l\xc3\xa9 de Valentin',1730,45005,61,UC3Wr2T__guAv3btN7hlD2CQ,2019-12-04T18:17:06.047425Z
b'Nature Stereo',28,178,5,UCDbcrrECdZNo5uo2ItNf4Dw,2021-05-25T06:44:16.913864Z
b'Total Harmony with Nature',22,7732,20,UCW005l2Hg8DvHEe7PBy6Tmg,2015-02-21T06:39:02Z
b'The Nature Conservancy in California',369,57786,71,UCGylXwzN4krvfl4hrafhcBg,2014-10-03T19:30:33Z
b'Mother Nature Calm',1420,165904,64,UCy35fxnA8SVCf--SYcZvlxw,2021-02-26T20:44:52.088395Z
b'Casual Geographic',1440000,142369961,76,UC5Yo88QF-chdugJbAnB2tUw,2020-08-01T19:50:29.918967Z
b'Work With Nature - How to Grow Food!',133000,19493234,243,UCHmdRuKUSB7xrbv8uC0TKxg,2010-12-05T21:45:38Z
b'BBC Earth',10400000,3721595068,2110,UCwmZiChSryoWQCZMIQezgTg,2009-02-25T00:01:07Z
b'Nature Fresh Farms',3140,307059,94,UC0GY9LIPEcOya0z_06QP1tQ,2010-07-20T14:02:08Z
b'Grandeur Nature',63,16853,15,UClTehNxtkiZgG8Wpv5ZvYBQ,2009-03-12T19:21:04Z
b'MAX9814 NATURE',1080,9329,21,UCwDIED2G4eeXWHI9XVI-ayQ,2021-09-21T01:47:35.738246Z
b'Nature Mobile',179,67029,16,UC37l_qiQYRlseRmpcdCcvgw,2011-12-15T19:26:22Z
